,after_found,after_path,before_found,before_path,combo_after,combo_before,dorn_after,dorn_before,scalabrino_after,scalabrino_before,filename,url,input_sha
11,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/AnimatedRotateDrawable.java/after/AnimatedRotateDrawable.java,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/AnimatedRotateDrawable.java/before/AnimatedRotateDrawable.java,0.8444823429317159,0.8444415654110558,0.8960131221615216,0.8959648607517866,0.7665275893557597,0.7665047654608155,AnimatedRotateDrawable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,02a078d088cabe694a07e6f916fe8a0eda58f74c
12,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/AnimatedStateListDrawable.java/after/AnimatedStateListDrawable.java,False,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/AnimatedStateListDrawable.java/before/AnimatedStateListDrawable.java,0.7478296221073332,,0.8117362837596186,,0.6715774393544115,,AnimatedStateListDrawable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,02a078d088cabe694a07e6f916fe8a0eda58f74c
13,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/AnimationDrawable.java/after/AnimationDrawable.java,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/AnimationDrawable.java/before/AnimationDrawable.java,0.8499839199787896,0.8499839199787896,0.9159219360141002,0.915918943674668,0.8189748998569406,0.8189054850650871,AnimationDrawable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,02a078d088cabe694a07e6f916fe8a0eda58f74c
14,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/ClipDrawable.java/after/ClipDrawable.java,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/ClipDrawable.java/before/ClipDrawable.java,0.8395575396716595,0.8395575396716595,0.907960167420762,0.9078783653676509,0.7743732170867068,0.7743800466081926,ClipDrawable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,02a078d088cabe694a07e6f916fe8a0eda58f74c
15,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/Drawable.java/after/Drawable.java,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/Drawable.java/before/Drawable.java,0.8892480344744399,0.8902881182056953,0.9614593076170422,0.9602441314652742,0.9122090703807773,0.9032117904848364,Drawable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,02a078d088cabe694a07e6f916fe8a0eda58f74c
16,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/InsetDrawable.java/after/InsetDrawable.java,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/InsetDrawable.java/before/InsetDrawable.java,0.8428333272458985,0.8428333272458985,0.896075630444102,0.8961264789104462,0.7641354642109945,0.7641234722686931,InsetDrawable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,02a078d088cabe694a07e6f916fe8a0eda58f74c
17,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/LayerDrawable.java/after/LayerDrawable.java,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/LayerDrawable.java/before/LayerDrawable.java,0.7824875991495829,0.7824875991495829,0.8776316237709825,0.8776248131716062,0.7360017635519542,0.7359905739625295,LayerDrawable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,02a078d088cabe694a07e6f916fe8a0eda58f74c
18,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/LevelListDrawable.java/after/LevelListDrawable.java,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/LevelListDrawable.java/before/LevelListDrawable.java,0.7945862797399362,0.7945862797399362,0.8694881716122231,0.8694674928362169,0.6985984391843281,0.6985930440326532,LevelListDrawable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,02a078d088cabe694a07e6f916fe8a0eda58f74c
19,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/RotateDrawable.java/after/RotateDrawable.java,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/RotateDrawable.java/before/RotateDrawable.java,0.8664126996200804,0.8664033334225234,0.9274191215361764,0.9274143989555674,0.8251589462047488,0.8251558136955903,RotateDrawable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,02a078d088cabe694a07e6f916fe8a0eda58f74c
20,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/ScaleDrawable.java/after/ScaleDrawable.java,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/ScaleDrawable.java/before/ScaleDrawable.java,0.8365413236121336,0.8365413236121336,0.8879954556624094,0.8880461618304253,0.735687784353892,0.7356847209235032,ScaleDrawable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,02a078d088cabe694a07e6f916fe8a0eda58f74c
